HALTESTELLEN_NAME,BPUIC,lat,lon,PRODUKT_ID,avg_trip_day,avg_p_late
"Zürich, Sunnau",8591388,47.32708600000287,8.529611000000598,Bus,142.16981132075472,0.47146045273266246
"Zürich, Susenbergstrasse",8591389,47.37853799999746,8.56800899999978,"Bus, Tram",289.1839622641509,0.2109415438699509
"Zürich, Sädlenweg",8573711,47.368226999999266,8.485157999999833,Bus,83.67469879518072,0.2426687224902417
"Zürich, Talwiesenstrasse",8591390,47.369945999998755,8.509646999999571,"Bus, Tram",548.627358490566,0.21709703764727092
"Zürich, Technopark",8591391,47.38878899999733,8.515654999999768,Tram,276.5377358490566,0.2658989448431445
"Zürich, Thujastrasse",8591392,47.350185000001844,8.527806999999738,Bus,140.48584905660377,0.25311934138730025
"Zürich, Tierspital",8591393,47.40190299999794,8.55179800000037,"Bus, Tram",553.4716981132076,0.2135214470265069
"Zürich, Tobelhof",8591396,47.383494000001185,8.587199000000613,Bus,85.4622641509434,0.38205780210724505
"Zürich, Toblerplatz",8591397,47.379090000001945,8.559347000000912,"Bus, Tram",845.9952830188679,0.22614385455378724
"Zürich, Toni-Areal",8591398,47.39004100000376,8.510580999999636,Tram,276.5660377358491,0.2545117117094835
"Zürich, Trichtenhausenfussweg",8591399,47.354200000001356,8.59860000000013,Bus,48.10377358490566,0.35038100610684353
"Zürich, Trichtisal",8591400,47.35391400000289,8.601070000000357,Bus,48.10377358490566,0.1927743154426113
"Zürich, Triemli",8503610,47.36815200000619,8.495378000000333,"Bus, Tram",1246.5377358490566,0.25948869850113016
"Zürich, Triemlispital",8591401,47.366385999999274,8.496772999999765,Bus,114.80660377358491,0.23825939361157036
"Zürich, Tulpenstrasse",8591403,47.40596500000358,8.568881999999627,Bus,140.58962264150944,0.22606573768112234
"Zürich, Tunnelstrasse",8591404,47.366142000004096,8.532528999999728,Tram,765.0,0.22777749706832318
"Zürich, Tüffenwies",8591402,47.39798000000518,8.494339999999431,"Bus, Tram",1614.0801886792453,0.2589994166019578
"Zürich, Uetlihof",8591405,47.35673699999558,8.513961999998825,"Bus, Tram",1051.2594339622642,0.22811878620466228
"Zürich, Universität Irchel",8591406,47.39615899999789,8.544828999999279,Tram,521.6933962264151,0.2304957675224355
"Zürich, Unteraffoltern",8591407,47.4245879999966,8.511847000000802,Bus,141.68396226415095,0.3246674322105357
"Zürich, Untermoosstrasse",8591408,47.37982900000335,8.483385999999893,Bus,494.1839622641509,0.2788215566705498
"Zürich, Verenastrasse",8591410,47.340825999999666,8.525379999999334,Bus,228.8490566037736,0.3894177136936157
"Zürich, Vogelsangstrasse",8591411,47.38354300000296,8.549070000000318,Bus,271.8867924528302,0.2743605013302136
"Zürich, Voltastrasse",8591412,47.376870000000295,8.554519000000125,"Bus, Tram",535.872641509434,0.18398034256347415
"Zürich, Vulkanstrasse",8591413,47.394350000001495,8.484082000000095,Bus,52.31428571428572,0.26989754921655285
"Zürich, Waffenplatz-/Bederstr.",8591414,47.36166599999801,8.52650599999972,Bus,70.16037735849056,0.2416734928707431
"Zürich, Waffenplatzstrasse",8591415,47.361483999995016,8.52574800000002,"Bus, Tram",1111.0707547169811,0.2306479471268787
"Zürich, Waidbadstrasse",8591416,47.39897300000246,8.513543000000313,Bus,320.688679245283,0.27849910450838217
"Zürich, Waidfussweg",8591417,47.39550000000445,8.518401000000557,"Bus, Tram",278.5660377358491,0.20602527390592207
"Zürich, Waidhof",8591418,47.42394599999732,8.524783000000548,Bus,69.43627450980392,0.23484175914508973
"Zürich, Waidspital",8591419,47.3991659999973,8.521708000000203,Bus,293.4622641509434,0.3089211617783134
"Zürich, Waldgarten",8591420,47.40422999999015,8.55767599999829,"Bus, Tram",1638.2216981132076,0.2477053021828028
"Zürich, Wartau",8591423,47.40277300000528,8.491627000000811,"Bus, Tram",1113.9716981132076,0.2506428793882081
"Zürich, Waserstrasse",8591424,47.358733000000825,8.58244299999949,Bus,279.29716981132077,0.3418005250422733
"Zürich, Weihersteig",8591425,47.39778900000202,8.528515000000636,Bus,265.89622641509436,0.3264306764566804
"Zürich, Werd",8591427,47.37232200000247,8.526842999999694,Tram,547.6509433962265,0.2897522926430531
"Zürich, Werdhölzli",8591428,47.39783199999353,8.482017000000493,"Bus, Tram",315.811320754717,0.32846588185339354
"Zürich, Wetlistrasse",8591429,47.360155000001676,8.568626000000208,"Tram, Zug",240.06603773584905,0.21266191232760673
